,original,untrusted,plagiarism
27," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class PrintJava {     public static void main(String[] args) {         printAll();     }     public static void printAll() {                  for (int i = 0; i < 5; i++) {             System.out.print(""Welcome to Java"");             System.out.println("""");         }     } } ",1
28," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class PrintJava {     public static void main(String[] args) {         printAll();     }     public static void printAll() {                  for (int i = 5; i > 0; i--) {             System.out.print(""Welcome to Java"");             System.out.println("""");         }     } } ",1
29," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {          public static void main(String[] args) {         for(int i=0;i<5;i++)             System.out.println(""Welcome To Java"");     }      } ",0
30," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {     public static void main(String[] args) {         for (int i = 0; i < 5; i++) {             System.out.println(""Welcome To Java"");         }     } } ",0
31," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {     public static void main(String[] args) {         for (int i = 0; i < 5; i++) {             System.out.println(""Welcome To Java"");         }     } } ",0
32," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {     public static void main(String[] args) {         for (int i = 0; i < 5; i++) {             System.out.println(""Welcome To Java"");         }     } } ",0
33," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {     public static void main(String[] args) {         for (int i = 0; i < 5; i++) {             System.out.println(""Welcome To Java"");         }     } } ",0
34," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {     public static void main(String[] args) {         for (int i=0;i<5;i++){             System.out.println(""Welcome To Java"");         }     } } ",0
35," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {     public static void main(String[] args) {         for(int i = 0; i < 5; i++) {             System.out.println(""Welcome To Java"");         }     } } ",0
36," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T01 {     public static void main(String[] args){                  for(int i = 0; i < 5; i++){             System.out.println(""Welcome To Java"");         }              } } ",0
37," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ",1
38," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class WelcomeToJava {     public static String test(int i) {         if(i>0) {             System.out.println(""Welcome To Java"");             return test(--i);         }         else             return """";     }          public static void main(String[] args) {         int i=5;         test(i);     } } ",1
39," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class WelcomeToJava {     public static void main(String[] args) { {             System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java"");         }     } } ",1
40," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class WelcomeToJava {     public static void test(int i) {         while(i>0) {             System.out.println(""Welcome To Java"");             i--;         }     }          public static void main(String[] args) {         test(5);     } } ",1
41," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class hellow {     public static void main(String[] args) {         printHello();     }     private static void printHello() {         System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");      } } ",1
42," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class hellow {     public static void main(String[] args) {         printHello();     }     private static void printHello() {         System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");          System.out.print(""Welcome to Java \n"");      } } ",1
43," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class hellow {     public static void main(String[] args) {         printHello();     }     private static void printHello() {         System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");      } } ",1
44," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class t01 {     public static void main(String[] args) {         for (int i = 0; i < 5; i++) {             System.out.println(""Welcome To Java"");         }     } } ",0
45," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","class HelloWorld { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }",1
46," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","class HelloWorld { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }",1
47," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","class HelloWorld { static String s; static void Cetak() { System.out.println(s); System.out.println(s); System.out.println(s); System.out.println(s); System.out.println(s); } public static void main(String[] args) { s = ""Welcome to Java""; Cetak(); } }",1
48," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","class HelloWorld { static String s; static void Cetak() { for(int a=5;a>0;a--) System.out.println(s); } public static void main(String[] args) { s = ""Welcome to Java""; Cetak(); } }",1
49," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","public class HelloWorld {     public static void main(String[] args) {         System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");      } } ",1
50," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","public class Main {     public static void main(String[] args) {              System.out.println(""Welcome to Java"");     System.out.println(""Welcome to Java"");     System.out.println(""Welcome to Java"");     System.out.println(""Welcome to Java"");     System.out.println(""Welcome to Java"");     } } ",1
51," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","public class Main {     public static void main(String[] args) {     String java=""Welcome To Java""; for(int baris=9;baris>=0;baris-=2){     System.out.print(java);     System.out.println(); }     } } ",1
52," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","public class T01 {    public static void main(String[] args)    {       for(int i=0;i < 5;i++)       {          System.out.println(""Welcome To Java"");       }           } }",0
53," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","public class hellow {     public static void main(String[] args) {         System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");      } } ",1
54," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } ","public class hellow {     public static void main(String[] args) {         System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");      } } ",1
55," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } ","   import java.util.Scanner; public class looping {    public static void main(String[] args) {         System.out.println(""Miles\t\tKilometers"");         System.out.println(""-------------------------------"");         int mil ;         print(mil=1);    }        public static void print(int mil)    {        for(int i=mil;i<=10;i++) {             System.out.println(i + ""\t\t"" + i * 1.609);                  }    } }",1
56," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } ","   import java.util.Scanner; public class looping {    public static void main(String[] args) {         System.out.println(""Miles\t\tKilometers"");         System.out.println(""-------------------------------"");         int mil ;         print(mil=1);    }        public static void print(int mil)    {        while (mil <= 10) {             System.out.println(mil + ""\t\t"" + mil * 1.609);             mil++;         }    } }",1
57," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } ","   import java.util.Scanner; public class looping {    public static void main(String[] args) {         System.out.println(""Miles\t\tKilometers"");         System.out.println(""-------------------------------"");         print(1);    }        public static void print(int mil)    {        int x;        for(int i=mil;i<=10;i++) {             x=(int)(i*1.609);             System.out.println(i + ""\t\t"" + x);                  }    } }",1
58," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," import java.text.DecimalFormat; import java.text.NumberFormat; public class T04 {     public static void main(String[] args) {         NumberFormat formatter = new DecimalFormat(""#0"");         System.out.println(""Miles"" + ""\t"" + ""Kilometers"");         System.out.println(""1"" + ""\t"" + (1 * 1.609));         System.out.println(""2"" + ""\t"" + (2 * 1.609));         System.out.println(""3"" + ""\t"" + (3 * 1.609));         System.out.println(""4"" + ""\t"" + (4 * 1.609));         System.out.println(""5"" + ""\t"" + (5 * 1.609));         System.out.println(""6"" + ""\t"" + (6 * 1.609));         System.out.println(""7"" + ""\t"" + (7 * 1.609));         System.out.println(""8"" + ""\t"" + (8 * 1.609));         System.out.println(""9"" + ""\t"" + (9 * 1.609));         System.out.println(""10"" + ""\t"" + (10 * 1.609) + formatter.format(0.0));     } } ",0
59," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," import java.text.DecimalFormat; public class Soal4 {     public static void main(String[] args) {         int arr[][] = new int[11][2];         DecimalFormat df = new DecimalFormat(""#.###"");         for(int i = 0; i<11; i++){             if(i==0)                 System.out.println(""Miles \t Kilometers"");             else                 System.out.println(i + ""\t"" + df.format(i*1.609));         }     } } ",0
60," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," import java.text.DecimalFormat; public class T04 {     public static void main(String[] args) {         DecimalFormat d = new DecimalFormat(""0.000"");                  System.out.println(""Miles\tKilometers"");         for(int i = 1; i <= 10; i++) {             System.out.println(i + ""\t"" + d.format(i * 1.609));         }     } } ",0
61," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," import java.util.Scanner; public class T04 {     public static void main(String[] args) {         double kilo;         double milToKilo = 1.609;         System.out.println(""Miles\tKilometers"");         for (int i = 1; i < 11; i++) {             kilo = i * milToKilo;             System.out.println(i + ""\t"" + kilo);         }     } } ",0
62," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," public class Kasus4 {     public static double Konversi(int miles) {             return miles * 1.609;     }          public static void main(String[] args) {         System.out.println(""Miles\t\tKilometers"");         System.out.println(""-------------------------------"");                  for(int miles=1 ; miles<=10 ; miles++)             System.out.println(miles + ""\t\t"" + Konversi(miles));     } } ",1
63," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," public class Kasus4 {     public static double Konversi(int miles) {         if(miles <=10) {             System.out.println(miles + ""\t\t"" + miles * 1.609);             return Konversi(++miles);         }         return 0;     }          public static void main(String[] args) {         System.out.println(""Miles\t\tKilometers"");         System.out.println(""-------------------------------"");                  Konversi(1);     } } ",1
64," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," public class Kasus4 {     public static void Konversi() {         for (int miles = 1 ; miles <= 10 ; miles++) {             System.out.println(miles + ""\t\t"" + miles * 1.609);         }     }          public static void main(String[] args) {         System.out.println(""Miles\t\tKilometers"");         System.out.println(""-------------------------------"");                  Konversi();     } } ",1
65," public class T4 { public static void main(String[] args) { System.out.println(""Miles\t\tKilometers""); System.out.println(""-------------------------------""); int miles = 1; while (miles <= 10) { System.out.println(miles + ""\t\t"" + miles * 1.609); miles++; } } } "," public class Kasus4 {     public static void Konversi(int miles) {             System.out.println(miles + ""\t\t"" + miles * 1.609);     }          public static void main(String[] args) {         System.out.println(""Miles\t\tKilometers"");         System.out.println(""-------------------------------"");                  for(int miles=1 ; miles<=10 ; miles++)             Konversi(miles);     } } ",1
